Date,Price,Open,High,Low,Change
1990-05-20,1.2416,1.2416,1.2454,1.2393,0
1990-05-21,1.2329,1.2329,1.2436,1.2318,-0.7
1990-05-22,1.2283,1.2283,1.2342,1.2268,-0.37
1990-05-23,1.2253,1.2253,1.2359,1.2224,-0.24
1990-05-24,1.2192,1.2192,1.233,1.2179,-0.5
1990-05-25,1.2211,1.2211,1.2269,1.2189,0.16
1990-05-26,1.2211,1.2211,1.2269,1.2189,0.16
1990-05-27,1.2211,1.2211,1.2269,1.2189,0.16
1990-05-28,1.2241,1.2241,1.2262,1.2237,0.25
1990-05-29,1.227,1.227,1.2315,1.2244,0.24
1990-05-30,1.2201,1.2201,1.2315,1.2193,-0.56
1990-05-31,1.2117,1.2117,1.2233,1.2087,-0.69
1990-06-01,1.2096,1.2096,1.2226,1.2081,-0.17
1990-06-02,1.2096,1.2096,1.2226,1.2081,-0.17
1990-06-03,1.2096,1.2096,1.2226,1.2081,-0.17
1990-06-04,1.2167,1.2167,1.219,1.2061,0.59
1990-06-05,1.2188,1.2188,1.2224,1.2097,0.17
1990-06-06,1.217,1.217,1.2225,1.2153,-0.15
1990-06-07,1.2136,1.2136,1.2199,1.2128,-0.28
1990-06-08,1.2113,1.2113,1.2167,1.2094,-0.19
1990-06-09,1.2113,1.2113,1.2167,1.2094,-0.19
1990-06-10,1.2113,1.2113,1.2167,1.2094,-0.19
1990-06-11,1.2138,1.2138,1.2184,1.2113,0.21
1990-06-12,1.2195,1.2195,1.2212,1.217,0.47
1990-06-13,1.2167,1.2167,1.2206,1.2158,-0.23
1990-06-14,1.2248,1.2248,1.2254,1.2174,0.67
1990-06-15,1.2184,1.2184,1.2211,1.211,-0.52
1990-06-16,1.2184,1.2184,1.2211,1.211,-0.52
1990-06-17,1.2184,1.2184,1.2211,1.211,-0.52
1990-06-18,1.2305,1.2305,1.2325,1.218,0.99
1990-06-19,1.2344,1.2344,1.2355,1.2275,0.32
1990-06-20,1.2306,1.2306,1.2344,1.2252,-0.31
1990-06-21,1.2307,1.2307,1.2314,1.2267,0.01
1990-06-22,1.232,1.232,1.232,1.228,0.11
1990-06-23,1.232,1.232,1.232,1.228,0.11
1990-06-24,1.232,1.232,1.232,1.228,0.11
1990-06-25,1.2302,1.2302,1.2335,1.229,-0.15
1990-06-26,1.235,1.235,1.2364,1.2278,0.39
1990-06-27,1.2395,1.2395,1.2437,1.2386,0.36
1990-06-28,1.2374,1.2374,1.2433,1.2361,-0.17
1990-06-29,1.2365,1.2365,1.241,1.2332,-0.07
1990-06-30,1.2365,1.2365,1.241,1.2332,-0.07
